Название машины;Картинка;Описание;Цена
"
            Mercedes-Benz Sprinter W906 Фургон , 2006 ";https://i.cars.kg/preview/r/HexENS0VoqeJpiKiong8Ug/1080x-/20220719/5ee95470c80e1166e94071cb0827fda6.jpg;"
                                    Универсал,
                                                    2.1 л.,
                                                    дизель,
                                        механика,
                                        задний,
                                    ";9000$ 
"
            Mercedes-Benz E-Класс W124 [2-й рестайлинг] Седан , 1994 ";https://i.cars.kg/preview/r/xRZWPlhreRsOWV6lB7RMJw/1080x-/20220718/1500742d331cf0f4a19e2286427477d7.png;"
                                    Седан,
                                        черный,
                                        2.2 л.,
                                        левый руль,
                                        бензин,
                                        автомат,
                                        задний,
                                    ";4800$ 
"
            Mercedes-Benz E-Класс W124 [2-й рестайлинг] Седан , 1994 ";no photo;"
                                    Седан,
                                        черный,
                                        3.2 л.,
                                        левый руль,
                                        бензин,
                                        автомат,
                                        задний,
                                    ";3000$ 
"
            Mercedes-Benz E-Класс W211/S211 Седан , 2004 ";https://i.cars.kg/preview/r/9UF4iHYV_xH2hG0j0yPJ5A/1080x-/20220717/8aecf515930f5083dda3f0a7705cde43.jpg;"
                                    Седан,
                                        серебряный,
                                        3.2 л.,
                                        левый руль,
                                        бензин,
                                        автомат,
                                        передний,
                                    ";11000$ 
"
            Mercedes-Benz , 2004 ";https://i.cars.kg/preview/r/SRBX9UEUX7QFzcBQbQnEqg/1080x-/20220716/e171a45087415e28706da020f22ec8ef.jpg;"
                                    Минивэн / Бус,
                                        желтый,
                                        2.7 л.,
                                        левый руль,
                                        дизель,
                                        механика,
                                        задний,
                                    ";10700$ 
"
            Mercedes-Benz CLS-Класс C218/X218 AMG седан 4-дв. , 2013 ";https://i.cars.kg/preview/r/hK8Qt_A6txN-oLeDVlVvLw/1080x-/20220716/c575bb96a04d7485f89b1b8059d6e760.jpg;"
                                    Купе,
                                        вишневый,
                                        3.5 л.,
                                        левый руль,
                                        бензин,
                                        автомат,
                                        передний,
                                    ";29000$ 
"
            Mercedes-Benz E-Класс W210/S210 [рестайлинг] Седан , 2001 ";https://i.cars.kg/preview/r/L877rpaHmmqRzjTSVLwTRw/1080x-/20220715/1ad0cc923e6a73da0c0ad22358b37a4a.jpeg;"
                                    Седан,
                                        белый,
                                        4.3 л.,
                                        левый руль,
                                        бензин,
                                        автомат,
                                        передний,
                                    ";8600$ 
"
            Mercedes-Benz Sprinter , 2006 ";https://i.cars.kg/preview/r/Jl8CbqGtMDU2l8Kh-MPJZA/1080x-/20220714/909d480f89c3b15edd82e8c9aed05779.jpg;"
                                    Минивэн / Бус,
                                        белый,
                                        2.2 л.,
                                        левый руль,
                                        дизель,
                                        механика,
                                        передний,
                                    ";10500$ 
"
            Mercedes-Benz S-Класс W220 [рестайлинг] Седан , 2004 ";https://i.cars.kg/preview/r/hwgnXWyMeKz4fsv5ECK64A/1080x-/20220714/77e267e6426f02aceb3368daa94a5117.jpg;"
                                    Седан,
                                        серебряный,
                                        3.7 л.,
                                        левый руль,
                                        бензин,
                                        автомат,
                                        задний,
                                    ";9500$ 
"
            Mercedes-Benz E-Класс W124 Седан 4-дв. , 1987 ";https://i.cars.kg/preview/r/oZK2KsxSSDo9wzhX__yWQA/1080x-/20220714/91de36e3671a196f73fae650e36c7012.jpg;"
                                    Седан,
                                        золотой,
                                        3 л.,
                                        левый руль,
                                        дизель,
                                        механика,
                                        передний,
                                    ";2889$ 
"
            Mercedes-Benz E-Класс W211/S211 Седан , 2003 ";https://i.cars.kg/preview/r/XT8-Ih3A3wri2UG2ndNsXQ/1080x-/20220713/48e7a254983380dd406a95ed1960ce76.jpg;"
                                    Седан,
                                        белый,
                                        5.5 л.,
                                        левый руль,
                                        бензин,
                                        автомат,
                                        задний,
                                    ";16000$ 
